Search terms
"March 31, 2026 - July 20, 2026"
Search term,Search terms match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
racing training,Exact match (close variant),None,1,7,14.29%,USD,12.47,12.47,33.33%,33.33%,0.00,0,0,0.00%
racing training academy,Exact match (close variant),None,1,2,50.00%,USD,14.65,14.65,100.00%,100.00%,0.00,0,0,0.00%
road course driving school,Exact match (close variant),None,1,2,50.00%,USD,10.73,10.73,100.00%,100.00%,0.00,0,0,0.00%
road racing school,Exact match (close variant),None,1,8,12.50%,USD,9.97,9.97,80.00%,80.00%,0.00,0,0,0.00%
scca drivers school,Exact match (close variant),None,1,14,7.14%,USD,11.23,11.23,35.71%,35.71%,0.00,0,0,0.00%
scca race school,Exact match (close variant),None,1,8,12.50%,USD,5.56,5.56,28.57%,28.57%,0.00,0,0,0.00%
track days,Exact match (close variant),None,1,16,6.25%,USD,14.27,14.27,63.64%,72.73%,0.00,0,0,0.00%
track driver training,Exact match (close variant),None,1,4,25.00%,USD,4.35,4.35,100.00%,100.00%,0.00,0,0,0.00%
track racing school,Exact match (close variant),None,1,5,20.00%,USD,5.81,5.81,100.00%,100.00%,0.00,0,0,0.00%
amp karting school,Phrase match (close variant),None,1,3,33.33%,USD,7.25,7.25,50.00%,50.00%,0.00,0,0,0.00%
ara rally classes,Phrase match (close variant),None,1,2,50.00%,USD,5.88,5.88,0.00%,0.00%,0.00,0,0,0.00%
atlanta drift school,Phrase match (close variant),None,1,4,25.00%,USD,4.11,4.11,50.00%,100.00%,0.00,0,0,0.00%
audi driving school,Phrase match (close variant),None,1,7,14.29%,USD,19.63,19.63,40.00%,40.00%,0.00,0,0,0.00%
autocross driving school,Phrase match (close variant),None,1,4,25.00%,USD,7.26,7.26,100.00%,100.00%,0.00,0,0,0.00%
autocross racing classes,Phrase match (close variant),None,1,2,50.00%,USD,12.61,12.61,50.00%,50.00%,0.00,0,0,0.00%
barber motorsports driving school,Phrase match (close variant),None,1,7,14.29%,USD,9.99,9.99,60.00%,60.00%,0.00,0,0,0.00%
bmw drift track,Phrase match (close variant),None,1,1,100.00%,USD,4.48,4.48,100.00%,100.00%,0.00,0,0,0.00%
bmw race track,Phrase match (close variant),None,1,4,25.00%,USD,6.36,6.36,33.33%,33.33%,0.00,0,0,0.00%
bmw school,Phrase match (close variant),None,1,11,9.09%,USD,6.57,6.57,50.00%,50.00%,0.00,0,0,0.00%
bmw track,Phrase match (close variant),None,1,9,11.11%,USD,5.71,5.71,66.67%,66.67%,0.00,0,0,0.00%
buck baker driving school,Phrase match (close variant),None,1,24,4.17%,USD,5.05,5.05,56.25%,56.25%,0.00,0,0,0.00%
car racing camps for kids,Phrase match (close variant),None,1,1,100.00%,USD,6.90,6.90,100.00%,100.00%,0.00,0,0,0.00%
competitive racing license,Phrase match (close variant),None,1,3,33.33%,USD,6.50,6.50,50.00%,50.00%,0.00,0,0,0.00%
cory kruseman sprint car school,Phrase match (close variant),None,1,2,50.00%,USD,7.79,7.79,100.00%,100.00%,0.00,0,0,0.00%
dale mcdowell racing school,Phrase match (close variant),None,1,4,25.00%,USD,5.50,5.50,100.00%,100.00%,0.00,0,0,0.00%
dirt late model driving school,Phrase match (close variant),None,1,11,9.09%,USD,3.19,3.19,71.43%,71.43%,0.00,0,0,0.00%
dirtfish rally driving school,Phrase match (close variant),None,1,1,100.00%,USD,4.20,4.20,0.00%,0.00%,0.00,0,0,0.00%
dirty fish rally school,Phrase match (close variant),None,1,2,50.00%,USD,5.29,5.29,100.00%,100.00%,0.00,0,0,0.00%
drift lessons,Phrase match (close variant),None,1,6,16.67%,USD,5.65,5.65,75.00%,75.00%,0.00,0,0,0.00%
drifting lessons,Phrase match (close variant),Excluded,1,12,8.33%,USD,7.11,7.11,71.43%,71.43%,0.00,0,0,0.00%
drifting school,Phrase match (close variant),None,1,25,4.00%,USD,3.96,3.96,75.00%,81.25%,1.00,0,3.96,100.00%
drive a sports car,Phrase match (close variant),None,1,2,50.00%,USD,6.58,6.58,100.00%,100.00%,0.00,0,0,0.00%
f4 training camp,Phrase match (close variant),None,1,1,100.00%,USD,4.98,4.98,100.00%,100.00%,0.00,0,0,0.00%
fastlaneracing,Phrase match (close variant),None,1,3,33.33%,USD,5.76,5.76,100.00%,100.00%,0.00,0,0,0.00%
ferrari driving lessons,Phrase match (close variant),None,1,2,50.00%,USD,7.83,7.83,0.00%,100.00%,0.00,0,0,0.00%
fia racing classes,Phrase match (close variant),None,1,2,50.00%,USD,6.35,6.35,100.00%,100.00%,0.00,0,0,0.00%
ford mustang driving school,Phrase match (close variant),None,1,4,25.00%,USD,9.13,9.13,50.00%,100.00%,0.00,0,0,0.00%
ford mustang racing school,Phrase match (close variant),None,1,2,50.00%,USD,5.34,5.34,100.00%,100.00%,0.00,0,0,0.00%
formula 1 reaction time training,Phrase match (close variant),None,1,2,50.00%,USD,7.71,7.71,0.00%,50.00%,0.00,0,0,0.00%
formula 1 schools,Phrase match (close variant),None,1,3,33.33%,USD,9.85,9.85,100.00%,100.00%,0.00,0,0,0.00%
formula classes,Phrase match (close variant),None,1,4,25.00%,USD,12.66,12.66,100.00%,100.00%,0.00,0,0,0.00%
go kart racing school,Phrase match (close variant),Excluded,1,3,33.33%,USD,1.74,1.74,50.00%,50.00%,0.00,0,0,0.00%
high performance driver education hpde,Phrase match (close variant),None,1,2,50.00%,USD,7.79,7.79,100.00%,100.00%,0.00,0,0,0.00%
high performance driving school,Phrase match (close variant),None,1,10,10.00%,USD,11.15,11.15,100.00%,100.00%,0.00,0,0,0.00%
high performance driving schools,Phrase match (close variant),None,1,1,100.00%,USD,9.92,9.92,100.00%,100.00%,0.00,0,0,0.00%
hotz driver development,Phrase match (close variant),None,1,4,25.00%,USD,5.54,5.54,33.33%,33.33%,0.00,0,0,0.00%
how can i drive a formula 1 car,Phrase match (close variant),None,1,1,100.00%,USD,6.03,6.03,100.00%,100.00%,0.00,0,0,0.00%
hpde,Phrase match (close variant),Excluded,1,15,6.67%,USD,7.57,7.57,40.00%,50.00%,0.00,0,0,0.00%
hpde atlanta,Phrase match (close variant),None,1,9,11.11%,USD,7.56,7.56,66.67%,83.33%,0.00,0,0,0.00%
hpde driving,Phrase match (close variant),None,1,10,10.00%,USD,8.28,8.28,25.00%,25.00%,0.00,0,0,0.00%
i want to be a race car driver,Phrase match (close variant),Excluded,1,2,50.00%,USD,4.15,4.15,100.00%,100.00%,0.00,0,0,0.00%
imsa classes,Phrase match (close variant),None,1,3,33.33%,USD,3.23,3.23,50.00%,50.00%,0.00,0,0,0.00%
kart school,Phrase match (close variant),None,1,4,25.00%,USD,5.30,5.30,66.67%,66.67%,0.00,0,0,0.00%
karting academy,Phrase match (close variant),None,1,2,50.00%,USD,5.85,5.85,100.00%,100.00%,0.00,0,0,0.00%
karting lessons,Phrase match (close variant),None,1,3,33.33%,USD,5.73,5.73,50.00%,50.00%,0.00,0,0,0.00%
learn rally driving,Phrase match (close variant),None,1,2,50.00%,USD,6.23,6.23,100.00%,100.00%,0.00,0,0,0.00%
mclaren driver development program,Phrase match (close variant),None,1,2,50.00%,USD,14.16,14.16,0.00%,0.00%,1.00,0,14.16,100.00%
mercedes driver development program,Phrase match (close variant),None,1,1,100.00%,USD,5.67,5.67,0.00%,0.00%,0.00,0,0,0.00%
motogp training schools,Phrase match (close variant),None,1,2,50.00%,USD,7.70,7.70,100.00%,100.00%,0.00,0,0,0.00%
motorcycle racing school,Phrase match (close variant),None,1,5,20.00%,USD,4.46,4.46,66.67%,66.67%,0.00,0,0,0.00%
pdg track days,Phrase match (close variant),None,1,9,11.11%,USD,5.94,5.94,12.50%,12.50%,0.00,0,0,0.00%
polecat racing,Phrase match (close variant),None,1,24,4.17%,USD,17.65,17.65,44.44%,44.44%,0.00,0,0,0.00%
polecat track,Phrase match (close variant),Excluded,1,31,3.23%,USD,14.07,14.07,23.08%,23.08%,0.00,0,0,0.00%
porsche academy,Phrase match (close variant),None,1,2,50.00%,USD,6.58,6.58,50.00%,50.00%,0.00,0,0,0.00%
porsche driving school atlanta,Phrase match (close variant),None,1,8,12.50%,USD,6.94,6.94,14.29%,14.29%,0.00,0,0,0.00%
porsche racing school,Phrase match (close variant),None,1,2,50.00%,USD,5.88,5.88,100.00%,100.00%,0.00,0,0,0.00%
race car instructor,Phrase match (close variant),None,1,1,100.00%,USD,18.49,18.49,100.00%,100.00%,0.00,0,0,0.00%
race track to drive exotic cars,Phrase match (close variant),None,1,4,25.00%,USD,13.73,13.73,50.00%,100.00%,0.00,0,0,0.00%
racing camp,Phrase match (close variant),None,1,10,10.00%,USD,5.99,5.99,50.00%,50.00%,0.00,0,0,0.00%
racing classes for kids,Phrase match (close variant),None,1,1,100.00%,USD,7.35,7.35,100.00%,100.00%,0.00,0,0,0.00%
racing colleges,Phrase match (close variant),None,1,6,16.67%,USD,8.97,8.97,60.00%,60.00%,0.00,0,0,0.00%
racing summer camps,Phrase match (close variant),None,1,3,33.33%,USD,13.74,13.74,50.00%,50.00%,0.00,0,0,0.00%
richard petty's driving school,Phrase match (close variant),None,1,2,50.00%,USD,8.12,8.12,100.00%,100.00%,0.00,0,0,0.00%
road atlanta driving schools,Phrase match (close variant),None,1,2,50.00%,USD,9.04,9.04,100.00%,100.00%,1.00,0,9.04,100.00%
scca or usac license,Phrase match (close variant),None,1,1,100.00%,USD,4.29,4.29,100.00%,100.00%,0.00,0,0,0.00%
scca school,Phrase match (close variant),None,1,21,4.76%,USD,13.13,13.13,50.00%,55.56%,0.00,0,0,0.00%
seat time racing school,Phrase match (close variant),None,1,2,50.00%,USD,10.65,10.65,50.00%,50.00%,0.00,0,0,0.00%
sebring racing school,Phrase match (close variant),None,1,4,25.00%,USD,7.09,7.09,100.00%,100.00%,0.00,0,0,0.00%
stunt driving course,Phrase match (close variant),Excluded,1,3,33.33%,USD,6.76,6.76,50.00%,50.00%,0.00,0,0,0.00%
stunt driving school,Phrase match (close variant),None,1,29,3.45%,USD,5.37,5.37,66.67%,72.22%,0.00,0,0,0.00%
super car track,Phrase match (close variant),None,1,2,50.00%,USD,5.99,5.99,0.00%,100.00%,0.00,0,0,0.00%
super pro drag racing class,Phrase match (close variant),None,1,2,50.00%,USD,5.74,5.74,100.00%,100.00%,0.00,0,0,0.00%
track days at road atlanta,Phrase match (close variant),None,1,4,25.00%,USD,9.00,9.00,100.00%,100.00%,0.00,0,0,0.00%
velocity driving atlanta,Phrase match (close variant),None,1,9,11.11%,USD,6.55,6.55,100.00%,100.00%,0.00,0,0,0.00%
where can i race my car in atlanta,Phrase match (close variant),Excluded,1,1,100.00%,USD,13.79,13.79,100.00%,100.00%,0.00,0,0,0.00%
xtreme xperience atlanta,Phrase match (close variant),None,1,51,1.96%,USD,15.44,15.44,28.89%,31.11%,0.00,0,0,0.00%
xtreme xperience locations,Phrase match (close variant),Excluded,1,18,5.56%,USD,16.78,16.78,53.85%,53.85%,0.00,0,0,0.00%
hpde racing,Exact match,Added,0,14,0.00%,USD,0,0.00,7.69%,7.69%,0.00,0,0,0
performance driving schools,Exact match,Added,0,1,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
race driver training,Exact match,Added,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
race driving training,Exact match,Added,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
scca racing classes,Exact match,Added,0,7,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
1 day at dodge srt high performance driving school,Phrase match,None,0,3,0.00%,USD,0,0.00,50.00%,50.00%,0.00,0,0,0
99 racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
audi performance driving school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,100.00%,0.00,0,0,0
bertil roos racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
bill scott racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
bmw cca racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
bmw club racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
bmw driving performance school,Phrase match,None,0,3,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
bmw m performance driving school,Phrase match,None,0,2,0.00%,USD,0,0.00,50.00%,50.00%,0.00,0,0,0
bmw performance center driving school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
bmw performance driving school,Phrase match,None,0,45,0.00%,USD,0,0.00,15.00%,15.00%,0.00,0,0,0
bmw performance driving school greenville sc,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
bmw performance driving school sc,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
bmw racing school,Phrase match,None,0,5,0.00%,USD,0,0.00,33.33%,66.67%,0.00,0,0,0
brands hatch racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
buck baker's seat time racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
cadillac racing school,Phrase match,None,0,4,0.00%,USD,0,0.00,33.33%,33.33%,0.00,0,0,0
car racing school europe,Phrase match,None,0,1,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
car racing school new york,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
cheapest racing school,Phrase match,None,0,5,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
chevy racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,50.00%,50.00%,0.00,0,0,0
classes of race cars,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
corvette performance driving school,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
dirt racing schools,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
dirt track race car classes,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
dirt track racing school,Phrase match,None,0,6,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
dodge racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
dodge srt high performance driving school,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
doug foley drag racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
doug foley racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,50.00%,50.00%,0.00,0,0,0
drag race schools,Phrase match,None,0,4,0.00%,USD,0,0.00,66.67%,100.00%,0.00,0,0,0
drag racing driving school,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
drag racing schools in florida,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ed bargy racing school,Phrase match,None,0,19,0.00%,USD,0,0.00,5.56%,5.56%,0.00,0,0,0
evo performance driving school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ferrari racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
ford high performance driving school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
ford performance racing school explorer st,Phrase match,None,0,3,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ford performance racing school mustang unleashed,Phrase match,None,0,3,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ford performance racing school reviews,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ford race school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ford racing school charlotte,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ford racing school miller motorsports park,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ford st racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
formula 4 racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
formula one racing school,Phrase match,None,0,3,0.00%,USD,0,0.00,50.00%,50.00%,0.00,0,0,0
frank hawley drag racing school schedule,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
frank holley drag racing school,Phrase match,None,0,3,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
frank holly drag racing school,Phrase match,None,0,7,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
freddie spencer race school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
georgia racing schools,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
high performance driving school florida,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
honda racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,100.00%,0.00,0,0,0
keith code racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ken schrader racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
lamborghini racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
late model racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
level up racing school,Phrase match,None,0,3,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
lexus performance driving school,Phrase match,None,0,10,0.00%,USD,0,0.00,10.00%,10.00%,0.00,0,0,0
lexus performance driving school 2026,Phrase match,None,0,4,0.00%,USD,0,0.00,0.00%,33.33%,0.00,0,0,0
lucas school of racing,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
mario andretti racing school,Phrase match,None,0,3,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
mario andretti school of racing,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
mark morrow race school,Phrase match,None,0,5,0.00%,USD,0,0.00,66.67%,66.67%,0.00,0,0,0
mercedes benz racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
mia school of race engineering,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
mini performance driving school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
miss fritters racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
mont tremblant racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
motorcycle road racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
nasa racing school,Phrase match,None,0,4,0.00%,USD,0,0.00,33.33%,33.33%,0.00,0,0,0
nhra pomona racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
nigel mansell racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
nissan racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
o neil rally racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
off road racing school,Phrase match,None,0,6,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
off road racing schools,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
online racing school,Phrase match,None,0,13,0.00%,USD,0,0.00,87.50%,100.00%,0.00,0,0,0
panoz racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
performance driving school atlanta,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,100.00%,0.00,0,0,0
performance driving school bmw,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
porsche performance driving school,Phrase match,None,0,6,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
porsche racing school birmingham,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
primal racing school reviews,Phrase match,None,0,3,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
race car building school,Phrase match,None,0,2,0.00%,USD,0,0.00,50.00%,100.00%,0.00,0,0,0
race car driving school for kids,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
race car mechanic school,Phrase match,None,0,10,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
race engine building school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,100.00%,0.00,0,0,0
race engineer school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,100.00%,0.00,0,0,0
race tech suspension school,Phrase match,None,0,3,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
racing engineering school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
racing school for kids,Phrase match,None,0,3,0.00%,USD,0,0.00,50.00%,50.00%,0.00,0,0,0
racing school north carolina,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
racing school prices,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
racing schools in the us,Phrase match,None,0,3,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
radford racing school f4,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
radford racing school location,Phrase match,None,0,5,0.00%,USD,0,0.00,66.67%,66.67%,0.00,0,0,0
radford racing school photos,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
radical racing monster truck driving school,Phrase match,None,0,1,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
rally car racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
richard petty racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
richard petty school of racing,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
rickey gadson drag racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
road america kart racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
ron fellows performance driving school photos,Phrase match,None,0,4,0.00%,USD,0,0.00,33.33%,33.33%,0.00,0,0,0
roy hill drag racing school location,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
roy hill drag racing school photos,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
roy hill drag racing school reviews,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
roy hill's drag racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
seat time american racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
single seater racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
skip barber 3 day racing school,Phrase match,None,0,3,0.00%,USD,0,0.00,50.00%,50.00%,0.00,0,0,0
skip barber racing school atlanta,Phrase match,None,0,2,0.00%,USD,0,0.00,0.00%,100.00%,0.00,0,0,0
skip barber racing school locations,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
skip racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
sport bike racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
sportbike racing school,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
spring mountain performance driving school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
spring mountain racing school,Phrase match,None,0,4,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
sprint car racing school,Phrase match,None,0,3,0.00%,USD,0,0.00,50.00%,50.00%,0.00,0,0,0
stock car racing classes,Phrase match,None,0,2,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
stock car racing school,Phrase match,None,0,5,0.00%,USD,0,0.00,66.67%,100.00%,0.00,0,0,0
stock car racing schools,Phrase match,None,0,3,0.00%,USD,0,0.00,33.33%,33.33%,0.00,0,0,0
street car drag racing classes,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
svg racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
teen performance driving school,Phrase match,None,0,1,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0,0,0
track attack racing school,Phrase match,None,0,1,0.00%,USD,0,0.00,100.00%,100.00%,0.00,0,0,0
